Year-Day,Date,Start Time (UTC),End Time (UTC),Comments,start,end
2008-213,"July 31, 2008",17:30:00,19:25:00,LDOPE Outage; Delta-V 53,2008-07-31,
2008-107,"April 16, 2008",21:35:00,22:05:00,Ancillary Outage; S/C SFE Anomaly (LRS data loss),2008-04-16,
2008-107,"April 16, 2008",15:30:00,21:35:00,L0 Outage; S/C Anomaly,2008-04-16,
2008-107,"April 16, 2008",15:25:00,15:30:00,Ancillary Outage; S/C SFE Anomaly (LRS data loss),2008-04-16,
2008-084,"March 24, 2008",15:05:00,17:45:00,LDOPE Outage; Delta-V 52,2008-03-24,
2008-058,"February 27, 2008",14:00:00,17:15:00,LDOPE Outage; Inclination,2008-02-27,
2007-347,"December 13, 2007",20:25:00,22:05:00,"Ancillary Outage, Science Formatting Equipment Anomaly (LRS data loss)",2007-12-13,
2007-347,"December 13, 2007",13:15:00,20:25:00,L0 Outage; SFE Anomaly,2007-12-13,
2007-326,"November 22, 2007",01:20:00,01:35:00,Ancillary Lost; Temporary hide for repro; Attempting to recover,2007-11-22,
2007-320,"November 16, 2007",01:10:00,01:20:00,Ancillary Outage; S/C Science Formatting Equipment Anomaly (LRS data loss),2007-11-16,
2007-319 - 2007-320,"November 15, 2007 - November 16, 2007",18:15:00,01:10:00,L0 Outage; SFE Anomaly,2007-11-15,2007-11-16
2007-319,"November 15, 2007",18:10:00,18:15:00,Ancillary Outage; S/C Science Formatting Equipment Anomaly (LRS data loss),2007-11-15,
2007-273,"September 30, 2007",16:35:00,18:20:00,LDOPE Outage; MODIS Roll 73,2007-09-30,
2007-214,"August 2, 2007",03:05:00,03:10:00,Ancillary Lost; Temporary hide for repro; Attempting to recover,2007-08-02,
2007-162,"June 11, 2007",16:30:00,17:10:00,L0 Outage; Line Failover,2007-06-11,
2007-158,"June 7, 2007",10:40:00,16:20:00,L0 Outage; SSR Memory Reallocation,2007-06-07,
2007-117,"April 27, 2007",15:20:00,15:30:00,L0 Outage; SSR Memory Reallocation,2007-04-27,
2007-113,"April 23, 2007",21:50:00,22:00:00,L0 Outage; SSR Full,2007-04-23,
2007-109,"April 19, 2007",22:50:00,23:00:00,L0 Outage; SSR Reallocation,2007-04-19,
2007-079,"March 20, 2007",00:50:00,01:45:00,L0 Outage; RF Failure,2007-03-20,
2007-054,"February 23, 2007",14:45:00,15:05:00,L0 Outage; MD Byte Failure,2007-02-23,
2007-032,"February 1, 2007",19:45:00,20:45:00,L0 Outage; MD Byte Failure,2007-02-01,
2006-343,"December 9, 2006",08:30:00,10:05:00,LDOPE Outage; MODIS Roll 66,2006-12-09,
2006-340,"December 6, 2006",17:25:00,19:50:00,LDOPE Outage; Delta-V 48,2006-12-06,
2006-325,"November 21, 2006",14:40:00,17:55:00,LDOPE Outage; Inclination Adjust 17,2006-11-21,
2006-318,"November 14, 2006",14:35:00,17:50:00,LDOPE Outage; Inclination Adjust 16,2006-11-14,
2006-313,"November 9, 2006",16:20:00,18:00:00,LDOPE Outage; MODIS Roll 65,2006-11-09,
2006-301,"October 28, 2006",22:25:00,23:05:00,L0 Outage; S/C Data Anomaly; (MODAPS C6),2006-10-28,
2006-300,"October 27, 2006",02:20:00,02:40:00,L0 Outage; MODIS Science Buffer Full,2006-10-27,
2006-290,"October 17, 2006",14:45:00,17:25:00,LDOPE Outage; Delta-V 47,2006-10-17,
2006-285,"October 12, 2006",16:00:00,18:40:00,LDOPE Outage; Delta-V 47--WAIVED OFF--,2006-10-12,
2006-234 - 2006-235,"August 22, 2006 - August 23, 2006",16:40:00,19:45:00,MCST Outage; MODIS Instrument in Survival/Safe Mode,2006-08-22,2006-08-23
2006-231,"August 19, 2006",17:25:00,17:30:00,L0 Outage; CADU's lost,2006-08-19,
2006-171 - 2006-172,"June 20, 2006 - June 21, 2006",14:15:00,20:35:00,LDOPE Outage; TONS software update,2006-06-20,2006-06-21
2006-144,"May 24, 2006",16:30:00,18:45:00,LDOPE Outage; Delta-V 46,2006-05-24,
2006-078,"March 19, 2006",07:50:00,08:45:00,L0 Outage; (ADPE) Primary and Back-up Equipment Failure; 4717,2006-03-19,
2006-018 - 2006-019,"January 18, 2006 - January 19, 2006",21:35:00,00:15:00,LDOPE Outage; Delta-V 45,2006-01-18,2006-01-19
2005-349,"December 15, 2005",14:20:00,17:30:00,LDOPE Outage; Inclination Adjust 15,2005-12-15,
2005-347,"December 13, 2005",14:30:00,17:35:00,LDOPE Outage; Inclination Adjust 14,2005-12-13,
2005-341,"December 7, 2005",13:35:00,16:50:00,LDOPE Outage; Inclination Adjust 13,2005-12-07,
2005-331,"November 27, 2005",06:45:00,07:30:00,L0 Outage; HGA misconfiguration,2005-11-27,
2005-324,"November 20, 2005",15:00:00,16:40:00,LDOPE Outage; MODIS Roll 56,2005-11-20,
2005-266,"September 23, 2005",19:45:00,19:50:00,"Ancillary Outage, Science Formatting Equipment Anomaly (LRS data loss)",2005-09-23,
2005-266,"September 23, 2005",14:40:00,19:45:00,L0 Outage; S/C Anomaly,2005-09-23,
2005-265,"September 22, 2005",05:00:00,07:00:00,LDOPE Outage; MODIS Roll 55,2005-09-22,
2005-258,"September 15, 2005",16:25:00,19:00:00,LDOPE Outage; Delta-V 43,2005-09-15,
2005-238,"August 26, 2005",23:10:00,23:20:00,L0 Outage; SSR failure,2005-08-26,
2005-238,"August 26, 2005",22:50:00,23:00:00,L0 Outage; SSR failure,2005-08-26,
2005-238,"August 26, 2005",12:50:00,13:00:00,L0 Outage; SSR failure,2005-08-26,
2005-235,"August 23, 2005",16:35:00,18:00:00,LDOPE Outage; MODIS Roll 54,2005-08-23,
2005-206,"July 25, 2005",06:50:00,08:20:00,LDOPE Outage; MODIS Roll 53,2005-07-25,
2005-177,"June 26, 2005",00:40:00,02:25:00,LDOPE Outage; MODIS Roll 52,2005-06-26,
2005-160,"June 9, 2005",18:20:00,20:45:00,LDOPE Outage; Delta-V 42,2005-06-09,
2005-125,"May 5, 2005",07:40:00,08:10:00,L0 Outage; Spacecraft Communication Problem,2005-05-05,
2005-059,"February 28, 2005",17:50:00,19:55:00,LDOPE Outage; MODIS Roll 51,2005-02-28,
2005-054,"February 23, 2005",20:00:00,23:05:00,LDOPE Outage; Delta-V 41,2005-02-23,
2004-366,"December 31, 2004",13:25:00,15:05:00,LDOPE Outage; MODIS Roll 49,2004-12-31,
2004-359,"December 24, 2004",13:55:00,21:30:00,L0 Outage; Hardware Failure,2004-12-24,
2004-328,"November 23, 2004",18:10:00,20:50:00,LDOPE Outage; Delta-V 40,2004-11-23,
2004-309,"November 4, 2004",13:15:00,16:35:00,LDOPE Outage; Inclination Adjust 12,2004-11-04,
2004-303,"October 29, 2004",20:15:00,20:20:00,Ancillary Lost; Corrupt Data; Attempting to recover,2004-10-29,
2004-302,"October 28, 2004",13:25:00,16:30:00,LDOPE Outage; Inclination Adjust 11,2004-10-28,
2004-300,"October 26, 2004",13:50:00,17:00:00,LDOPE Outage;Inclination Adjust 10,2004-10-26,
2004-277,"October 3, 2004",01:55:00,04:00:00,LDOPE Outage; MODIS Roll 46,2004-10-03,
2004-248,"September 4, 2004",05:45:00,05:55:00,L0 Outage; SSR Full,2004-09-04,
2004-248,"September 4, 2004",04:10:00,04:50:00,L0 Outage; SSR Full,2004-09-04,
2004-248,"September 4, 2004",01:50:00,03:40:00,L0 Outage; SSR Full,2004-09-04,
2004-247,"September 3, 2004",09:55:00,11:40:00,LDOPE Outage; MODIS Roll 45,2004-09-03,
2004-217,"August 4, 2004",19:55:00,20:40:00,LDOPE Outage; MODIS Roll 44,2004-08-04,
2004-216,"August 3, 2004",18:20:00,18:25:00,L0 Outage; SSR Full,2004-08-03,
2004-215,"August 2, 2004",13:40:00,13:55:00,L0 Outage; corrupt data; Bug5614,2004-08-02,
2004-186,"July 4, 2004",07:50:00,08:35:00,Ancillary Lost; Bad Attitude Data; Attempting to recover,2004-07-04,
2004-176,"June 24, 2004",18:20:00,20:05:00,LDOPE Outage; Delta-V 38,2004-06-24,
2004-097,"April 6, 2004",17:00:00,20:00:00,LDOPE Outage; Delta-V 37,2004-04-06,
2004-050,"February 19, 2004",16:10:00,16:15:00,Ancillary Outage; Science Formatting Equipment (LRS data loss);Bug 4704,2004-02-19,
2004-049 - 2004-050,"February 18, 2004 - February 19, 2004",14:35:00,16:10:00,L0 Outage; Science Formatting Equipment -A (SFEA),2004-02-18,2004-02-19
2004-028,"January 28, 2004",16:50:00,19:30:00,LDOPE Outage; Delta-V 36,2004-01-28,
2004-015,"January 15, 2004",13:45:00,13:50:00,L0 Outage; S/C Data Anomaly,2004-01-15,
2003-360,"December 26, 2003",03:35:00,03:55:00,L0 Outage; SSR Full,2003-12-26,
2003-350 - 2003-358,"December 16, 2003 - December 24, 2003",13:05:00,21:20:00,MCST Outage; MODIS Instrument in Survival/Safe Mode,2003-12-16,2003-12-24
2003-349,"December 15, 2003",14:35:00,14:50:00,Ancillary Outage; Bad Attitude Data; S/C Data Anomaly,2003-12-15,
2003-349,"December 15, 2003",14:15:00,14:30:00,Ancillary Lost; Bad Attitude Data; Attempting to recover,2003-12-15,
2003-347,"December 13, 2003",17:05:00,19:50:00,LDOPE Outage; MODIS Roll 40,2003-12-13,
2003-339,"December 5, 2003",16:10:00,16:15:00,L0 Outage;SSR Full,2003-12-05,
2003-304,"October 31, 2003",16:40:00,19:40:00,LDOPE Outage; Delta-V 35,2003-10-31,
2003-293,"October 20, 2003",13:30:00,13:35:00,L0 Outage; SSR Full,2003-10-20,
2003-288,"October 15, 2003",07:35:00,10:15:00,LDOPE Outage; MODIS Roll 39,2003-10-15,
2003-287,"October 14, 2003",17:45:00,17:55:00,L0 Outage; SSR Full,2003-10-14,
2003-287,"October 14, 2003",09:35:00,09:45:00,L0 Outage; SSR Full,2003-10-14,
2003-273,"September 30, 2003",12:20:00,12:25:00,L0 Outage; SSR Disabled,2003-09-30,
2003-268,"September 25, 2003",18:40:00,18:50:00,L0 Outage; SSR Full,2003-09-25,
2003-268,"September 25, 2003",12:05:00,12:15:00,L0 Outage; SSR Full,2003-09-25,
2003-268,"September 25, 2003",03:30:00,03:35:00,L0 Outage; SSR Full,2003-09-25,
2003-228,"August 16, 2003",18:20:00,21:00:00,LDOPE Outage; MODIS Roll 37,2003-08-16,
2003-225,"August 13, 2003",19:35:00,19:40:00,L0 Outage; S/C Data Anomaly,2003-08-13,
2003-218,"August 6, 2003",13:55:00,17:00:00,LDOPE Outage; Inclination Adjust 9,2003-08-06,
2003-212,"July 31, 2003",19:25:00,19:35:00,L0 Outage; SSR Disabled/Data Loss; (MODAPS C6),2003-07-31,
2003-212,"July 31, 2003",14:30:00,17:35:00,LDOPE Outage; Inclination Adjust 8,2003-07-31,
2003-210,"July 29, 2003",13:05:00,16:10:00,LDOPE Outage; Inclination Adjust 7,2003-07-29,
2003-203,"July 22, 2003",19:30:00,22:30:00,LDOPE Outage; Delta-V 33,2003-07-22,
2003-199,"July 18, 2003",02:15:00,04:55:00,LDOPE Outage; MODIS Roll 36,2003-07-18,
2003-169,"June 18, 2003",13:30:00,16:15:00,LDOPE Outage; MODIS Roll 35,2003-06-18,
2003-120,"April 30, 2003",17:45:00,20:45:00,LDOPE Outage; Delta-V 32,2003-04-30,
2003-104 - 2003-105,"April 14, 2003 - April 15, 2003",20:25:00,00:00:00,LDOPE Outage; Lunar Deep Space Calibration,2003-04-14,2003-04-15
2003-091,"April 1, 2003",05:30:00,06:30:00,L0 Outage; SSR Full,2003-04-01,
2003-085,"March 26, 2003",16:00:00,16:55:00,L0 Outage; Deep Space Calibration,2003-03-26,
2003-085,"March 26, 2003",15:05:00,15:30:00,Ancillary Outage; Bad Attitude Data;Bug 5616,2003-03-26,
2003-081,"March 22, 2003",06:10:00,08:50:00,LDOPE Outage; MODIS Roll 34,2003-03-22,
2003-065,"March 6, 2003",18:15:00,20:45:00,LDOPE Outage; Delta-V 31,2003-03-06,
2003-049,"February 18, 2003",14:50:00,14:55:00,L0 Outage; S/C Data Anomaly,2003-02-18,
2003-045,"February 14, 2003",22:20:00,22:35:00,L0 Outage; SSR Problem,2003-02-14,
2003-032 - 2003-033,"February 1, 2003 - February 2, 2003",01:50:00,00:05:00,L0 Outage; Switch Problem,2003-02-01,2003-02-02
2003-022,"January 22, 2003",14:50:00,16:10:00,LDOPE Outage; MODIS Roll 32,2003-01-22,
2003-016,"January 16, 2003",10:40:00,21:00:00,LDOPE Outage; MODIS Yaw 37 - MODIS Yaw 42,2003-01-16,
2003-007,"January 7, 2003",17:50:00,20:10:00,LDOPE Outage; Delta-V 30,2003-01-07,
2003-006,"January 6, 2003",18:10:00,18:45:00,L0 Outage; Corrupt Data,2003-01-06,
2002-358,"December 24, 2002",06:10:00,07:20:00,LDOPE Outage; MODIS Roll 31,2002-12-24,
2002-340,"December 6, 2002",17:35:00,17:40:00,L0 Outage; S/C Data Anomaly,2002-12-06,
2002-324,"November 20, 2002",17:55:00,18:00:00,Ancillary Outage; Bad Attitude Data,2002-11-20,
2002-324,"November 20, 2002",13:55:00,14:00:00,Ancillary Outage; Bad Attitude Data,2002-11-20,
2002-322,"November 18, 2002",11:25:00,11:35:00,L0 Outage; S/C Data Anomaly,2002-11-18,
2002-277,"October 4, 2002",02:00:00,04:00:00,Ancillary Outage; Missing Attitude Data (Unknown),2002-10-04,
2002-269,"September 26, 2002",14:30:00,15:20:00,LDOPE Outage; MODIS Roll 28,2002-09-26,
2002-260,"September 17, 2002",14:15:00,14:20:00,L0 Outage; Switch Problem,2002-09-17,
2002-232,"August 20, 2002",14:30:00,15:50:00,L0 Outage; S/C Data Anomaly,2002-08-20,
2002-231,"August 19, 2002",08:25:00,09:35:00,Ancillary Outage; SSR Error,2002-08-19,
2002-219,"August 7, 2002",17:40:00,19:40:00,LDOPE Outage; Delta-V 26,2002-08-07,
2002-211,"July 30, 2002",11:50:00,12:00:00,Ancillary Lost; Bad Attitude Data; Attempting to recover,2002-07-30,
2002-210,"July 29, 2002",04:25:00,05:35:00,LDOPE Outage; MODIS Roll 26,2002-07-29,
2002-194,"July 13, 2002",11:00:00,11:45:00,Ancillary Lost; Bad Attitude Data; Attempting to recover,2002-07-13,
2002-190,"July 9, 2002",14:40:00,14:45:00,L0 Outage; EDOS OPS Error,2002-07-09,
2002-180,"June 29, 2002",12:25:00,13:40:00,LDOPE Outage; MODIS Roll 25,2002-06-29,
2002-179,"June 28, 2002",10:10:00,10:20:00,L0 Outage; S/C Data Anomaly,2002-06-28,
2002-179,"June 28, 2002",10:05:00,10:10:00,"Ancillary Outage, SSR Anomaly (LRS data loss)",2002-06-28,
2002-170,"June 19, 2002",16:55:00,19:30:00,LDOPE Outage; Delta-V 25,2002-06-19,
2002-160,"June 9, 2002",22:55:00,23:00:00,L0 Outage; S/C Data Anomaly,2002-06-09,
2002-154,"June 3, 2002",21:25:00,21:30:00,L0 Outage; S/C Data Anomaly,2002-06-03,
2002-153,"June 2, 2002",11:15:00,11:55:00,"Ancillary Outage; S/C Data Anomaly, 4664",2002-06-02,
2002-144,"May 24, 2002",15:20:00,15:35:00,L0 Outage; S/C Data Anomaly,2002-05-24,
2002-128,"May 8, 2002",18:05:00,20:45:00,LDOPE Outage; Delta-V 24,2002-05-08,
2002-104 - 2002-106,"April 14, 2002 - April 16, 2002",13:05:00,00:05:00,L0 Outage; Problem with Science Formatting Equipment (LRS data loss); 4359,2002-04-14,2002-04-16
2002-100,"April 10, 2002",19:30:00,21:55:00,LDOPE Outage; Delta-V 23,2002-04-10,
2002-094,"April 4, 2002",17:00:00,17:50:00,L0 Outage; S/C Data Anomaly,2002-04-04,
2002-094,"April 4, 2002",10:10:00,10:45:00,Ancillary Outage; Bad Attitude Data,2002-04-04,
2002-078 - 2002-087,"March 19, 2002 - March 28, 2002",14:45:00,10:10:00,LDOPE/MCST Outage; MODIS Instrument in Survival/Safe Mode,2002-03-19,2002-03-28
2002-072,"March 13, 2002",18:45:00,20:20:00,LDOPE Outage; Delta-V 22,2002-03-13,
2002-069,"March 10, 2002",03:40:00,04:05:00,L0 Outage; SSR Full,2002-03-10,
2002-068,"March 9, 2002",20:40:00,20:50:00,L0 Outage; EDOS Data Problem,2002-03-09,
2002-064,"March 5, 2002",14:35:00,16:40:00,LDOPE Outage; Inclination Adjust 4,2002-03-05,
2002-057,"February 26, 2002",14:40:00,16:10:00,LDOPE Outage; Inclination Adjust 3,2002-02-26,
2002-037,"February 6, 2002",14:25:00,17:25:00,LDOPE Outage; Inclination Adjust 2,2002-02-06,
2002-032,"February 1, 2002",18:45:00,21:55:00,LDOPE Outage; MODIS Roll 23,2002-02-01,
2002-017,"January 17, 2002",17:15:00,17:20:00,L0 Outage; FOT Operational Error,2002-01-17,
2002-009,"January 9, 2002",18:40:00,21:40:00,LDOPE Outage; Delta-V 19,2002-01-09,
2002-003,"January 3, 2002",09:40:00,12:50:00,LDOPE Outage; MODIS Roll 22,2002-01-03,
2001-363,"December 29, 2001",20:00:00,21:10:00,L0 Outage; SSR Full,2001-12-29,
2001-352,"December 18, 2001",18:40:00,21:40:00,LDOPE Outage; Delta-V 18,2001-12-18,
2001-339,"December 5, 2001",02:00:00,05:15:00,LDOPE Outage; MODIS Roll 21,2001-12-05,
2001-330,"November 26, 2001",22:30:00,23:00:00,L0 Outage; EDOS Data Problem,2001-11-26,
2001-319,"November 15, 2001",18:35:00,21:50:00,LDOPE Outage; Delta-v 17,2001-11-15,
2001-310,"November 6, 2001",02:55:00,06:40:00,L0 Outage; Miscalculated Byte,2001-11-06,
2001-309,"November 5, 2001",23:05:00,23:40:00,L0 Outage; Miscalculated Byte,2001-11-05,
2001-309,"November 5, 2001",16:35:00,19:35:00,LDOPE Outage; MODIS Roll 20; (MODAPS C6),2001-11-05,
2001-305,"November 1, 2001",17:35:00,17:45:00,L0 Outage; EDOS Data Problem,2001-11-01,
2001-298,"October 25, 2001",17:40:00,17:50:00,L0 Outage; SSR Full,2001-10-25,
2001-292,"October 19, 2001",18:55:00,19:30:00,L0 Outage; EDOS Data Problem,2001-10-19,
2001-282,"October 9, 2001",22:35:00,23:40:00,L0 Outage; Configuration Error,2001-10-09,
2001-280,"October 7, 2001",05:35:00,08:50:00,LDOPE Outage; MODIS Roll 19,2001-10-07,
2001-275,"October 2, 2001",17:25:00,21:30:00,LDOPE Outage; Delta-V 15,2001-10-02,
2001-262,"September 19, 2001",09:20:00,09:30:00,"Ancillary Outage; SSR Anomaly (LRS data loss), 4903",2001-09-19,
2001-262,"September 19, 2001",09:10:00,09:20:00,"L0 Outage; SSR Full, 4903",2001-09-19,
2001-250,"September 7, 2001",18:25:00,21:40:00,LDOPE Outage; MODIS Roll 18,2001-09-07,
2001-230,"August 18, 2001",03:45:00,04:20:00,Ancillary Outage; SSR Error; Bad Attitude Data,2001-08-18,
2001-228,"August 16, 2001",16:35:00,17:30:00,L0 Outage; EDOS Data Problem,2001-08-16,
2001-221,"August 9, 2001",04:00:00,07:15:00,LDOPE Outage; MODIS Roll 17,2001-08-09,
2001-210,"July 29, 2001",13:50:00,14:05:00,L0 Outage; EDOS Data Problem,2001-07-29,
2001-188,"July 7, 2001",18:40:00,18:50:00,L0 Outage; SSR Full,2001-07-07,
2001-184,"July 3, 2001",19:40:00,20:45:00,L0 Outage; SSR Full,2001-07-03,
2001-166 - 2001-184,"June 15, 2001 - July 3, 2001",04:00:00,09:15:00,MCST Outage; MODIS Instrument in Survival/Safe Mode,2001-06-15,2001-07-03
2001-145,"May 25, 2001",15:15:00,15:20:00,L0 Outage; SSR Full,2001-05-25,
2001-145,"May 25, 2001",14:15:00,14:45:00,L0 Outage; SSR Full,2001-05-25,
2001-145,"May 25, 2001",09:25:00,10:00:00,L0 Outage; SSR Anomaly,2001-05-25,
2001-145,"May 25, 2001",01:40:00,01:45:00,"L0 Outage; S/C Anomaly, 4641",2001-05-25,
2001-144,"May 24, 2001",20:30:00,20:35:00,L0 Outage; SSR Anomaly,2001-05-24,
2001-144,"May 24, 2001",19:55:00,20:00:00,L0 Outage; SSR Anomaly,2001-05-24,
2001-144,"May 24, 2001",17:30:00,17:40:00,L0 Outage; SSR Anomaly,2001-05-24,
2001-144,"May 24, 2001",12:05:00,12:10:00,"Ancillary Outage, SSR Anomaly (LRS data loss)",2001-05-24,
2001-144,"May 24, 2001",09:40:00,10:35:00,L0 Outage; SSR Anomaly,2001-05-24,
2001-144,"May 24, 2001",09:20:00,09:30:00,L0 Outage; SSR Anomaly,2001-05-24,
2001-144,"May 24, 2001",01:10:00,01:20:00,L0 Outage; SSR Anomaly,2001-05-24,
2001-143,"May 23, 2001",22:50:00,22:55:00,"Ancillary Outage, SSR Anomaly (LRS data loss)",2001-05-23,
2001-143,"May 23, 2001",22:35:00,22:50:00,L0 Outage; SSR Anomaly,2001-05-23,
2001-143,"May 23, 2001",19:30:00,19:40:00,"Ancillary Outage, SSR Anomaly (LRS data loss)",2001-05-23,
2001-143,"May 23, 2001",19:25:00,19:30:00,L0 Outage; SSR Anomaly,2001-05-23,
2001-143,"May 23, 2001",16:35:00,17:55:00,L0 Outage; SSR Anomaly,2001-05-23,
2001-143,"May 23, 2001",14:45:00,14:50:00,"Ancillary Outage, SSR Anomaly (LRS data loss)",2001-05-23,
2001-143,"May 23, 2001",08:10:00,09:05:00,L0 Outage; SSR Anomaly,2001-05-23,
2001-143,"May 23, 2001",00:45:00,00:55:00,L0 Outage; SSR Anomaly,2001-05-23,
2001-142,"May 22, 2001",16:35:00,16:40:00,L0 Outage; SSR Anomaly,2001-05-22,
2001-142,"May 22, 2001",14:10:00,14:15:00,L0 Outage; SSR Anomaly,2001-05-22,
2001-142,"May 22, 2001",08:25:00,08:30:00,L0 Outage; SSR Anomaly,2001-05-22,
2001-142,"May 22, 2001",05:55:00,06:50:00,L0 Outage; SSR Anomaly,2001-05-22,
2001-141,"May 21, 2001",21:45:00,21:55:00,L0 Outage; SSR Data Problem,2001-05-21,
2001-141,"May 21, 2001",13:35:00,13:45:00,L0 Outage; SSR Data Problem,2001-05-21,
2001-141,"May 21, 2001",05:35:00,05:40:00,"Ancillary Outage, SSR Anomaly",2001-05-21,
2001-141,"May 21, 2001",05:25:00,05:35:00,L0 Outage; SSR Data Problem,2001-05-21,
2001-140,"May 20, 2001",21:20:00,21:30:00,L0 Outage; SSR Data Problem,2001-05-20,
2001-128,"May 8, 2001",18:50:00,21:50:00,LDOPE Outage; Delta-V 12,2001-05-08,
2001-123,"May 3, 2001",14:10:00,14:15:00,L0 Outage; EDOS OPS Error,2001-05-03,
2001-117,"April 27, 2001",02:50:00,03:05:00,L0 Outage; SSR Full,2001-04-27,
2001-114,"April 24, 2001",01:55:00,02:00:00,L0 Outage; S/C Data Anomaly,2001-04-24,
2001-095,"April 5, 2001",17:40:00,20:40:00,LDOPE Outage; Delta-V 11,2001-04-05,
2001-088,"March 29, 2001",23:10:00,23:15:00,Ancillary lost; Bad Attitude Data,2001-03-29,
2001-088,"March 29, 2001",22:35:00,22:55:00,Ancillary Outage; Bad Attitude Data; RF Link Error,2001-03-29,
2001-087,"March 28, 2001",20:00:00,20:20:00,L0 Outage; EDOS Data Problem,2001-03-28,
2001-085,"March 26, 2001",15:10:00,15:25:00,Ancillary lost; Bad Attitude Data,2001-03-26,
2001-071,"March 12, 2001",12:05:00,12:35:00,L0 Outage; S/C Data Anomaly,2001-03-12,
2001-061,"March 2, 2001",14:05:00,14:55:00,L0 Outage; EDOS Data Problem,2001-03-02,
2001-044,"February 13, 2001",05:50:00,06:45:00,L0 Outage; SSR Full,2001-02-13,
2001-043,"February 12, 2001",05:50:00,09:05:00,LDOPE Outage; MODIS Roll 13,2001-02-12,
2001-013,"January 13, 2001",15:45:00,18:55:00,LDOPE Outage; MODIS Roll 12,2001-01-13,
2001-010,"January 10, 2001",11:35:00,12:00:00,L0 Outage; S/C Data Anomaly,2001-01-10,
2001-004,"January 4, 2001",18:00:00,18:35:00,L0 Outage; EDOS Data Problem,2001-01-04,
2000-350,"December 15, 2000",06:30:00,09:35:00,LDOPE Outage; MODIS Roll 11,2000-12-15,
2000-340,"December 5, 2000",17:35:00,20:35:00,LDOPE Outage; Delta-V 8,2000-12-05,
2000-333,"November 28, 2000",12:00:00,14:00:00,L0 Outage; EDOS Data Problem,2000-11-28,
2000-330,"November 25, 2000",14:45:00,15:10:00,L0 Outage; EDOS Data Problem; 4353,2000-11-25,
2000-326,"November 21, 2000",21:30:00,22:00:00,L0 Outage; EDOS Data Problem,2000-11-21,
2000-319,"November 14, 2000",18:05:00,20:00:00,L0 Outage; EDOS OPS Error,2000-11-14,
2000-318,"November 13, 2000",18:35:00,18:40:00,"Ancillary Outage, HouseKeeping Data Missing",2000-11-13,
2000-318,"November 13, 2000",15:55:00,16:30:00,L0 Outage; EDOS Data Problem,2000-11-13,
2000-318,"November 13, 2000",12:15:00,12:50:00,L0 Outage; EDOS Data Problem,2000-11-13,
2000-317,"November 12, 2000",21:25:00,22:45:00,L0 Outage; SRR Full,2000-11-12,
2000-317,"November 12, 2000",03:30:00,03:40:00,L0 Outage; SSR Full,2000-11-12,
2000-314,"November 9, 2000",04:00:00,04:50:00,L0 Outage; SSR Full,2000-11-09,
2000-306,"November 1, 2000",17:40:00,21:10:00,LDOPE Outage; Delta-V 7,2000-11-01,
2000-305,"October 31, 2000",03:50:00,04:45:00,L0 Outage; OPS Error,2000-10-31,
2000-304,"October 30, 2000",14:15:00,14:20:00,L0 Outage; Diagnostic Studies,2000-10-30,
2000-304,"October 30, 2000",14:10:00,14:15:00,Ancillary Outage; Diagnostic Studies,2000-10-30,
2000-304,"October 30, 2000",14:05:00,14:10:00,L0 Outage; Diagnostic Studies,2000-10-30,
2000-301,"October 27, 2000",20:00:00,20:55:00,L0 Outage; S/C Data Anomaly,2000-10-27,
2000-300 - 2000-301,"October 26, 2000 - October 27, 2000",14:00:00,14:35:00,L0 Outage; Diagnostic Studies,2000-10-26,2000-10-27
2000-296,"October 22, 2000",00:00:00,00:05:00,L0 Outage; Spacecraft Communication,2000-10-22,
2000-291,"October 17, 2000",13:25:00,18:20:00,LDOPE Outage; MODIS Roll 8/9,2000-10-17,
2000-287,"October 13, 2000",09:40:00,09:50:00,L0 Outage; S/C Data Anomaly,2000-10-13,
2000-278,"October 4, 2000",16:00:00,19:30:00,LDOPE Outage; Delta-V 6,2000-10-04,
2000-262,"September 18, 2000",04:00:00,07:15:00,LDOPE Outage; MODIS Roll 7,2000-09-18,
2000-234,"August 21, 2000",07:55:00,08:00:00,L0 Outage; S/C Data Anomaly,2000-08-21,
2000-218 - 2000-231,"August 5, 2000 - August 18, 2000",22:15:00,16:00:00,L0 Outage; Diagnostic Studies,2000-08-05,2000-08-18
2000-218,"August 5, 2000",17:15:00,20:00:00,L0 Outage; EDOS Data Problem,2000-08-05,
2000-217,"August 4, 2000",01:10:00,01:25:00,"L0 Outage; SSR Error, 4585",2000-08-04,
2000-215,"August 2, 2000",18:20:00,18:25:00,L0 Outage; S/C Data Anomaly,2000-08-02,
2000-213,"July 31, 2000",13:30:00,13:35:00,L0 Outage; Command Uplink Problem,2000-07-31,
2000-211,"July 29, 2000",17:10:00,18:00:00,L0 Outage; S/C Data Anomaly,2000-07-29,
2000-209,"July 27, 2000",04:50:00,04:55:00,L0 Outage; Corrupt L0 Data,2000-07-27,
2000-207,"July 25, 2000",07:55:00,08:30:00,L0 Outage; SSR Problem,2000-07-25,
2000-203,"July 21, 2000",10:35:00,13:55:00,LDOPE Outage; MODIS Roll 6,2000-07-21,
2000-199,"July 17, 2000",21:30:00,21:35:00,"Ancillary Outage, Hardware Problem at White Sands",2000-07-17,
2000-199,"July 17, 2000",20:05:00,21:30:00,L0 Outage; Hardware Problem at White Sands,2000-07-17,
